datetime,symbol,time,open,high,low,close,volume,amount,next_page_token
2025-03-05 14:30:00,NVDA,1741185000000,117.53,117.8,117.05,117.565,4275376,502271443.0537085,
2025-03-05 14:31:00,NVDA,1741185060000,117.58,118.0,116.7269,116.7606,2117770,248752187.4207494,
2025-03-05 14:32:00,NVDA,1741185120000,116.7606,116.94,115.85,115.92,2010454,233884725.21924984,
2025-03-05 14:33:00,NVDA,1741185180000,115.92,116.2,115.4703,115.9,1707125,197646680.51690072,
2025-03-05 14:34:00,NVDA,1741185240000,115.9,116.11,115.66,115.9492,1252909,145184734.05487043,
2025-03-05 14:35:00,NVDA,1741185300000,115.9492,116.42,115.78,116.235,1239848,144035002.58600527,
2025-03-05 14:36:00,NVDA,1741185360000,116.235,116.285,115.33,115.7701,1873381,216673381.0627579,
2025-03-05 14:37:00,NVDA,1741185420000,115.78,116.19,115.38,115.48,1286796,148972245.77659965,
2025-03-05 14:38:00,NVDA,1741185480000,115.48,115.55,115.066,115.27,1491424,171856185.20863226,
2025-03-05 14:39:00,NVDA,1741185540000,115.27,115.98,115.04,115.975,1526732,176509292.0803002,
2025-03-05 14:40:00,NVDA,1741185600000,115.975,116.72,115.95,116.4448,1945459,226379080.50438955,
2025-03-05 14:41:00,NVDA,1741185660000,116.4448,116.96,116.27,116.75,1251899,146074368.43514523,
2025-03-05 14:42:00,NVDA,1741185720000,116.75,116.99,116.5204,116.7,1193768,139422719.77605215,
2025-03-05 14:43:00,NVDA,1741185780000,116.69,117.0754,116.58,116.9103,1153729,134855199.30482402,
2025-03-05 14:44:00,NVDA,1741185840000,116.92,117.04,116.2,116.36,1257588,146603863.11530027,
2025-03-05 14:45:00,NVDA,1741185900000,116.3609,116.46,115.95,116.3781,903836,105011053.7256,
2025-03-05 14:46:00,NVDA,1741185960000,116.3781,116.4599,115.96,116.0298,818046,95041731.53811026,
2025-03-05 14:47:00,NVDA,1741186020000,116.03,116.06,115.41,115.6278,1228074,142006990.058285,
2025-03-05 14:48:00,NVDA,1741186080000,115.63,115.8699,115.48,115.8301,943536,109120303.27351984,
2025-03-05 14:49:00,NVDA,1741186140000,115.84,115.925,115.415,115.438,832300,96234997.81509,
2025-03-05 14:50:00,NVDA,1741186200000,115.438,115.84,115.28,115.6701,827850,95687011.99347058,
2025-03-05 14:51:00,NVDA,1741186260000,115.6701,116.13,115.6701,116.06,865508,100369287.0204799,
2025-03-05 14:52:00,NVDA,1741186320000,116.06,116.58,116.0,116.41,980126,114019573.99084781,
2025-03-05 14:53:00,NVDA,1741186380000,116.41,116.49,115.87,116.08,691212,80282433.99582016,
2025-03-05 14:54:00,NVDA,1741186440000,116.0831,116.12,115.27,115.51,1141665,131944440.58066988,
2025-03-05 14:55:00,NVDA,1741186500000,115.51,115.85,115.45,115.624,796132,92064066.94842385,
2025-03-05 14:56:00,NVDA,1741186560000,115.624,115.66,114.83,114.9698,2319334,266936320.45480934,
2025-03-05 14:57:00,NVDA,1741186620000,114.9594,115.24,114.64,115.18,1421076,163220578.50649974,
